ma_ho,ten_ho,nganh,tinh_thanh,so_nam_hoat_dong,doanh_thu_hoa_don_T1,doanh_thu_hoa_don_T2,doanh_thu_hoa_don_T3,doanh_thu_hoa_don_T4,doanh_thu_hoa_don_T5,doanh_thu_hoa_don_T6,doanh_thu_hoa_don_T7,doanh_thu_hoa_don_T8,doanh_thu_hoa_don_T9,doanh_thu_hoa_don_T10,doanh_thu_hoa_don_T11,doanh_thu_hoa_don_T12,so_giao_dich_trung_binh_ngay,dong_tien_ngan_hang_T1,dong_tien_ngan_hang_T2,dong_tien_ngan_hang_T3,dong_tien_ngan_hang_T4,dong_tien_ngan_hang_T5,dong_tien_ngan_hang_T6,dong_tien_ngan_hang_T7,dong_tien_ngan_hang_T8,dong_tien_ngan_hang_T9,dong_tien_ngan_hang_T10,dong_tien_ngan_hang_T11,dong_tien_ngan_hang_T12,tien_dien_T1,tien_dien_T2,tien_dien_T3,tien_dien_T4,tien_dien_T5,tien_dien_T6,tien_dien_T7,tien_dien_T8,tien_dien_T9,tien_dien_T10,tien_dien_T11,tien_dien_T12,co_lich_su_tin_dung_CIC,so_tien_de_nghi_vay,nhan_vo_no
HKD001,Tạp hóa Bảy Hùng,Tạp hóa,Hà Nội,2.3,247000000,270200000,162300000,194400000,202000000,222400000,216600000,224000000,230800000,228800000,269800000,304100000,109,93000000,96700000,62900000,73600000,73600000,84300000,84600000,89700000,78100000,87800000,101400000,111200000,2790000,3260000,3040000,3670000,4110000,3500000,3740000,3390000,3410000,3450000,3400000,2650000,Có,285000000,0
HKD002,Shop Tuấn Kiệt Menswear,Thời trang,Nghệ An,12.6,101100000,153200000,66700000,47300000,101700000,81900000,105700000,73500000,68600000,53200000,115100000,158500000,34,50800000,79900000,43700000,23700000,57100000,45300000,64600000,52100000,40700000,36600000,62800000,99200000,1420000,1520000,1900000,1880000,2170000,2200000,2260000,2120000,1960000,1730000,1600000,1560000,Có,90000000,0
HKD003,Tạp hóa Phúc An,Tạp hóa,Bình Dương,2.6,199900000,237800000,162600000,125900000,151700000,157000000,161300000,160200000,153800000,159000000,140200000,189700000,147,172500000,221100000,143800000,121800000,149000000,148100000,152300000,148500000,136200000,144300000,123600000,180100000,2920000,3090000,2980000,3680000,3570000,3640000,3700000,3500000,3360000,3000000,2790000,2770000,Có,235000000,0
HKD004,VLXD Kim Thành,Vật liệu XD,Hà Nội,1.6,482700000,343900000,429500000,405500000,445700000,292600000,362100000,280400000,267000000,423900000,593400000,565100000,22,338200000,286200000,303800000,301400000,341500000,147900000,281500000,180800000,181800000,253000000,351500000,369800000,3940000,4220000,4160000,4790000,4740000,4340000,4860000,4780000,4140000,4080000,3970000,3560000,Có,145000000,0
HKD005,Quán bánh canh Dì Ba,Quán ăn,Hà Nội,1.3,227000000,215400000,214600000,194200000,228000000,248100000,233300000,205900000,226400000,174600000,207700000,209200000,53,106100000,118100000,111400000,91000000,120300000,122300000,103500000,99700000,116900000,92300000,106600000,106500000,7470000,7320000,8620000,8760000,9480000,9780000,8720000,8610000,8960000,7890000,7290000,7410000,Có,245000000,0
HKD006,VLXD An Khang,Vật liệu XD,Thanh Hóa,2.3,378300000,453000000,469400000,532900000,292500000,320300000,409100000,359000000,526400000,381300000,522400000,864400000,13,185800000,216800000,262000000,297000000,186900000,183600000,201300000,208500000,422800000,258500000,160100000,474000000,4090000,4580000,4740000,5770000,5850000,5940000,5600000,5340000,4980000,4960000,4560000,4230000,Có,290000000,0
HKD007,Cà phê Cô Tấm,Cà phê,Thanh Hóa,3.6,150800000,133400000,145400000,135700000,138500000,166100000,163300000,169300000,154100000,159600000,151600000,177100000,103,77200000,71000000,77800000,70600000,73600000,86900000,88700000,90800000,78500000,81100000,86300000,92200000,7290000,7200000,7380000,7860000,8890000,9120000,9160000,7880000,7510000,7290000,7710000,5910000,Có,150000000,0
HKD008,VLXD Trường Thịnh,Vật liệu XD,Đà Nẵng,5.3,511200000,475500000,515200000,492600000,612100000,517400000,470900000,426600000,419200000,469700000,541300000,678200000,18,341000000,264400000,338300000,276200000,410600000,297700000,269000000,284700000,274100000,255300000,385000000,549200000,4200000,5220000,4900000,5340000,5850000,5490000,6370000,5880000,4970000,4830000,4280000,4510000,Có,265000000,0
HKD009,VLXD Sơn Hà,Vật liệu XD,Lâm Đồng,2.8,268500000,254500000,168800000,281800000,211600000,360400000,244600000,216000000,218700000,129700000,346200000,428300000,23,194700000,229600000,153100000,175400000,197600000,355400000,206700000,174600000,200100000,80800000,286700000,406300000,2410000,2820000,2820000,2730000,3320000,3200000,3410000,3000000,3130000,2650000,2720000,2510000,Có,165000000,0
HKD010,Cà phê Sài Gòn Cũ,Cà phê,TP. Hồ Chí Minh,4.5,117800000,111200000,122100000,123400000,138300000,131000000,132000000,133700000,123100000,130100000,117700000,144600000,130,46200000,45000000,46400000,51800000,60000000,56300000,56100000,50300000,48300000,51800000,45800000,62300000,5720000,5770000,6460000,6380000,6860000,6990000,7480000,7160000,6620000,6420000,5310000,5470000,Không,55000000,0
HKD011,Tạp hóa Minh Khang,Tạp hóa,Nghệ An,2.6,195600000,241600000,159500000,159200000,184200000,110300000,142400000,183800000,142000000,132000000,150100000,189800000,133,144700000,152900000,126300000,155500000,136900000,101900000,113800000,114000000,103700000,84200000,129000000,117000000,3320000,3250000,2990000,3850000,4310000,3820000,4170000,3400000,3530000,2950000,3230000,2740000,Có,105000000,0
HKD012,Quán hủ tiếu Chú Tài,Quán ăn,Bắc Ninh,16.0,164300000,126700000,164500000,161000000,173700000,201000000,197700000,196700000,197900000,198700000,203800000,196700000,106,119100000,105400000,123500000,127700000,129400000,156800000,145600000,167400000,147800000,155400000,158900000,164100000,5440000,6070000,6510000,7340000,7850000,7540000,7740000,7210000,6910000,6300000,5840000,5940000,Có,70000000,0
